,OperatingUnit,AASpecialist,AwardTitle,AwardDescription,Sector,Code,AmountRange,Incumbent,AwardActionType,SmallBusinessSetAside,FiscalYearofAction,AnticipatedAwardDate_raw,AnticipatedSolicitationReleaseDate_raw,AwardLength,SolicitationNumber,BusinessForecastStatusChange,Location,LastModifiedDate_raw,BaseAmount,CeilingAmount,AnticpatedAwardDate,AnticipatedSolicitationReleaseDate,LastModifiedDate
101,Madagascar,Sandy Solofonirina,Improving Market Partnerships and Access to Commodities Together (IMPACT)  (Old title TMI-HPS),Full and open competition assistance award for ISM follow-on.,Global Health,,$25M - $49.99M,TBD,Cooperative Agreement,,2018.0,6/29/2018,10/30/2017,5 years,TBD,Combination of Changes,Overseas,10/06/2017,25000000.0,49990000.0,2018-06-29,2017-10-30,2017-10-06
102,Madagascar,Verohantan'Iaina Rabemanantsoa,Site-based conservation (Mikajy),"Site-based interventions to improve management of key ecosystems, provide sustainable livelihood options and improve natural resource governance at the community level",Environment and Global Climate Change,,$10M - $24.99M,TBD,Contract,,2017.0,12/29/2017,6/13/2017,5 years,,,Overseas,10/06/2017,10000000.0,24990000.0,2017-12-29,2017-06-13,2017-10-06
103,Malawi,Paul Martin,Construction of Prefabricated Classrooms; and Latrines,Supplying and installing 2-room prefabricated classroom blocks at each of 33 (thirty three) existing schools in the cities of Malawi,Education,236220.0,$4M - $9.99M,TBD,Contract,,2018.0,11/30/2018,4/30/2018,7-9 months,,New Opportunity Not Previously Forecasted,Overseas,3/02/2018,4000000.0,9999000.0,2018-11-30,2018-04-30,2018-03-02
104,Malawi,Manale Jimu,Disability Activity,"Develop a scalable intervention that allows for the detection, instruction, and testing of children with disabilities in order to teach them to read.",Education,611710.0,$1M - $3.99M,TBD,Task Order/Delivery Order (TO/DO),,2018.0,10/31/2018,4/30/2018,3 years,,New Opportunity Not Previously Forecasted,Overseas,3/02/2018,1000000.0,3900000.0,2018-10-31,2018-04-30,2018-03-02
105,Malawi,Manale Jimu,Higher Education,To increase access to higher education and ultimately result in increasing employment and entrepreneurship for youth who stay in school,Education,611710.0,$10M - $24.99M,TBD,Cooperative Agreement,,2018.0,11/30/2018,2/20/2018,4 years,,New Opportunity Not Previously Forecasted,Overseas,3/02/2018,10000000.0,24990000.0,2018-11-30,2018-02-20,2018-03-02
106,Mali,Cheick Oumar Coulibaly,Mali 2018 Elections Support,Provide assistance to the Malian Government in organizing the 2018 presidential legislatives and communale elections.,"Democracy, Human Rights, and Governance",,$4M - $9.99M,,Cooperative Agreement,,2017.0,2/28/2018,9/12/2017,2 years,RFA-688-17-000005,New Opportunity Not Previously Forecasted,Overseas,10/06/2017,4000000.0,9999000.0,2018-02-28,2017-09-12,2017-10-06
107,Mali,Aminata Kanta,Performance Evaluation of the Behavior Change and Communication / Service Delivery Projects,Mid-Term Performance Evaluation of the Behavior Change and Communication / Service Delivery Projects,Global Health,561990.0,"$150,000 - $499,999",,Indefinite Delivery Indefinite Quantity Contract (IDIQ),,2017.0,4/02/2018,1/31/2018,4-6 months,,New Opportunity Not Previously Forecasted,Overseas,10/06/2017,150000.0,499999.0,2018-04-02,2018-01-31,2017-10-06
108,Mali,Cheick Oumar Coulibaly,USAID/Mali Peace & Stabilization Project,"Further transition out of the emergency assistance phase into more longer-term, scalable, and sustainable community-driven peacebuilding, stabilization, and recovery activities in conflict-affected areas and areas at risk of conflict.","Democracy, Human Rights, and Governance",,$10M - $24.99M,,Contract,,2017.0,4/30/2018,10/10/2017,5 years,,New Opportunity Not Previously Forecasted,Overseas,10/19/2017,10000000.0,24990000.0,2018-04-30,2017-10-10,2017-10-19
109,Moldova,"Luchuk-Vysotska, Olga",Power Generation Feasibility Study,Power Generation Feasibility Study,Economic Growth and Trade,,$1M - $3.99M,,Contract,,2018.0,8/30/2018,3/16/2018,3 years,,Combination of Changes,Overseas,2/26/2018,1000000.0,3900000.0,2018-08-30,2018-03-16,2018-02-26
110,Morocco,Salya Yacoubi,Mid Term Evaluation - Civil Society Strengthening Program (CSSP),"CSSP mid-term evaluation. USAID/Morocco intends to conduct a mid-term performance evaluation of its Civil Society Strengthening Program (CSSP) which contributes directly to the Mission’s Democracy and Governance Intermediate Result 1, “Increased civil society contribution to the public policy process”. This evaluation will serve the following purposes:
1. To provide the Mission with concrete evidence regarding to what extent CSSP achieved its goals at all levels of the results framework.
2. Determine any recommended course adjustments in the ongoing program and CSSP’s  management structure.","Democracy, Human Rights, and Governance",,"$150,000 - $499,999",,Task Order/Delivery Order (TO/DO),,2018.0,4/09/2018,1/12/2018,1-3 months,72060818R00003,,Overseas,3/02/2018,150000.0,499999.0,2018-04-09,2018-01-12,2018-03-02
111,Morocco,Najia Mesfioui,Performance Evaluation of the Reading for Success (RFS) Project,"Performance Evaluation of the Education sector of USAID/Morocco's programming include evaluation of several active awards, the USAID/Morocco Project Appraisal Document (PAD), and how these support the Development Objectives of USAID/Morocco.",Education,,$1M - $3.99M,,Contract,TBD,2019.0,1/04/2019,3/09/2018,2 years,,New Opportunity Not Previously Forecasted,Overseas,3/02/2018,1000000.0,3900000.0,2019-01-04,2018-03-09,2018-03-02
112,Mozambique,Judite Caetano,Efficiencies for Clinical HIV Outcomes Activity (ECHO),"The purpose of Efficiencies for HIV/AIDS Clinical Outcomes (ECHO) is to reduce HIV mortality, morbidity and transmission, while strengthening the capacity of the Ministry of Health to deliver quality HIV/AIDS services across the continuum of care.",Global Health,541990.0,$100M - $299.99M,,Contract,,2018.0,1/28/2019,3/30/2018,5 years,,Combination of Changes,Overseas,3/01/2018,100000000.0,299990000.0,2019-01-28,2018-03-30,2018-03-01
113,Nepal,Ajaya Parajuli,Sajhedari,"USAID plans to provide support to Nepal's state restructuring and devolution to local bodies as envisioned and empowered in Nepal's 2015 Constitution.  It will do so by providing support to citizens to access government services and their newly elected local officials. The project will also support local level government performance by working with those bodies in their provision of services to the public in an inclusive, transparent, and responsive manner.  Finally, USAID will support institutionalizing inclusive citizen participation in local decision making and public accountability mechanisms, as well as mainstreaming conflict mediation into new local governance systems, processes, and structures.","Democracy, Human Rights, and Governance",,$10M - $24.99M,,Contract,,2019.0,11/02/2018,3/26/2018,,72036718R00004,New Opportunity Not Previously Forecasted,Overseas,3/02/2018,10000000.0,24990000.0,2018-11-02,2018-03-26,2018-03-02
114,Nicaragua,Carla Vanessa Morales,Ideas Locales,The purpose of this activity is to enable citizens to enhance local development through effective engagement and advocacy with local authorities and other relevant actors on community-driven needs utilizing pluralistic citizen participation. This activity will be evaluated for impact through a randomized control study.,"Democracy, Human Rights, and Governance",,$10M - $24.99M,,Contract,,2018.0,9/28/2018,1/03/2018,5 years,,New Opportunity Not Previously Forecasted,Overseas,3/01/2018,10000000.0,24990000.0,2018-09-28,2018-01-03,2018-03-01
115,Nigeria,Ijeoma Okoroma,Addressing Education in Northeast Nigeria,"To address education in Northeast Nigeria targeting internally displaced people (IDPs) and host communities in Adamawa, Borno, Gombe and Yobe states, as and when conditions permit.  This activity will address acute emergency education needs while laying the foundation to rebuild and transform the education system in Northeast Nigeria, redressing long-standing education grievances related to the insurgency and building trust in Nigerian education institutions.  Many out of school girls and boys, ages 6-15, will benefit from equitable access to certified high-quality basic education opportunities, including those who will gain access for the first time.",Education,,$25M - $49.99M,,Cooperative Agreement,,2018.0,8/30/2018,3/02/2018,,,,Overseas,2/21/2018,25000000.0,49990000.0,2018-08-30,2018-03-02,2018-02-21
116,Nigeria,Kingsley Ebule,Agricultural Competitiveness and West Africa Trade Hub Project,"The Trade Hub Activity is to improve private sector competitiveness with a focus on increasing the agricultural productivity and profitability of smallholder farmers in Nigeria, and promoting West Africa’s regional and international trade. The Activity comprises of three main components: (i) design of a Competitiveness Fund for private sector partnerships; (ii) administration of the Competitiveness Fund to develop private sector partnerships and provide grants; and (iii) technical assistance (TA) that directly supports, coordinates, and organizes qualifying recipients (i.e., partners and grantees) to achieve USAID’s trade and food security objectives.  The Trade Hub will contribute to both USAID/Nigeria’s Feed the Future objectives related to increasing the agricultural competitiveness of smallholder farmers in Nigeria as well as USAID/West Africa’s objective to increase broad-based growth and resilience.",Agriculture and Food Security,,$50M - $99.99M,TBD,Contract,TBD,2018.0,11/30/2018,3/30/2018,5 years,,Change in Anticipated Solicitation Date,Overseas,2/21/2018,50000000.0,99990000.0,2018-11-30,2018-03-30,2018-02-21
117,Nigeria,Kingsley Ebule,Rural Resilience,Increased resilience of vuneralble households. in Nigeria.  Recent data suggest that the national poverty rate using the official Nigerian poverty line is 33.1 percent. The vulnerability of households in the northern zones of the country is further exacerbated by climate change impacts.,Economic Growth and Trade,,$25M - $49.99M,TBD,Cooperative Agreement,TBD,2018.0,8/30/2018,3/30/2018,,,Change in Anticipated Solicitation Date,Overseas,2/21/2018,25000000.0,49990000.0,2018-08-30,2018-03-30,2018-02-21
118,Nigeria,TBD,"Social Services for AIDS-affected Orphans, Vulnerable Children, and Adolescents","Social Services for AIDS-affected Orphans, Vulnerable Children, and Adolescents",Global Health,,$100M - $299.99M,TBD,Cooperative Agreement,,2018.0,9/25/2018,4/30/2018,5 years,,New Opportunity Not Previously Forecasted,Overseas,2/21/2018,100000000.0,299990000.0,2018-09-25,2018-04-30,2018-02-21
119,Nigeria,Faruk Sulaiman,State-to-State Local Governance Project,State-to-State Local Governance,"Democracy, Human Rights, and Governance",,$25M - $49.99M,TBD,Contract,TBD,2018.0,9/24/2018,3/30/2018,,,Change in Anticipated Solicitation Date,Overseas,2/21/2018,25000000.0,49990000.0,2018-09-24,2018-03-30,2018-02-21
120,Pakistan,Muhammad Yasser,"Architect-Engineer (A-E) services for third Party Monitoring of Construction Milestones under Sindh Basic Education Program (SBEP), Sindh.",The purpose of this activity is to provide monitoring and verification of construction milestones for new schools being constructed under the Sindh Basic Education Program in Sindh province of Pakistan. The procurement of all construction services is the responsibility of Program Management and Implementation Unit (PMIU) established by the Government of Sindh (GoS). USAID will reimburse the GoS for school construction based upon construction milestones established for each school.,Management,541330.0,$1M - $3.99M,,Contract,,2018.0,6/29/2018,3/15/2018,3 years,72039118Q00003,New Opportunity Not Previously Forecasted,Overseas,3/02/2018,1000000.0,3900000.0,2018-06-29,2018-03-15,2018-03-02
121,Pakistan,Mariya Kanwal,Federally Administered Tribal Area (FATA) Infrastructure Program (FIP) A-E Services,The purpose of this activity is to provide Architect Engineering (A-E) quality assurance Services  for G2G activities in FATA areas of Pakistan.,Management,541330.0,$4M - $9.99M,,Contract,,2018.0,6/29/2018,3/15/2018,5 years,72039118Q00004,New Opportunity Not Previously Forecasted,Overseas,3/02/2018,4000000.0,9999000.0,2018-06-29,2018-03-15,2018-03-02
122,Pakistan,Saadi Akhtar,"Infrastructure program management services for the construction of Regional Training Institutes (RTIs) in Larkana and Sukhur in Sindh Province and reconstruction of education facilities in District Muzaffarabad, Azad Jammu & Kashmir (AJK)",The objective of this activity is to provide infrastructure management services including engineering and architecture design/ design review and construction management for the health and education sectors infrastructure.,Global Health,236220.0,$10M - $24.99M,,Contract,,2018.0,9/30/2018,3/15/2018,2 years,72039118R00003,Change in Anticipated Solicitation Date,Overseas,3/03/2018,10000000.0,24990000.0,2018-09-30,2018-03-15,2018-03-03
123,Pakistan,Saulat Rehan,Multi Sectoral APS - Pakistan,"This Annual Program Statement (APS) will support USAID/Pakistan to implement the Mission’s 2018-2023 Country Development Cooperation Strategy (CDCS) by partnering with the private sector, local, and international organizations to co-create, co-fund, and utilize innovative interventions to solve Pakistan's development challenges.",U.S. Global Development Lab,,$1M - $3.99M,,Collaborative Agreement,,2019.0,3/22/2019,6/29/2018,5 years,,,Overseas,2/26/2018,1000000.0,3900000.0,2019-03-22,2018-06-29,2018-02-26
124,Pakistan,Faisal Jawad,Pakistan Policy and Performance Support Mechanism (P3SM),"Pakistan Policy and Performance Support Mechanism (P3SM) is designed to provide services to the Mission in the following areas; 
- Policy Development, Implementation and Reform
- Needs Analysis, Feasibility Assessments, and Applications 
- Public Administration Functions 
- Support to Core GOP Ministries
- Professional / Technical Assistance Cadre.",Management,541990.0,$25M - $49.99M,,Indefinite Delivery Indefinite Quantity Contract (IDIQ),TBD,2019.0,5/31/2019,6/01/2018,5 years,,Combination of Changes,Overseas,3/02/2018,25000000.0,49990000.0,2019-05-31,2018-06-01,2018-03-02
125,Pakistan,Sohail Humayun,Pakistan Youth Development Project (PYDP),"The project will prepare youth for workforce participation (employment or entrepreneurship) by focusing education assistance on skills acquisition and civic engagement, and supporting youth as they emerge from training programs to identify employment opportunities or pursue entrepreneurial ventures to improve
livelihoods, reduce the prospect of economic marginalization, serve as role models for other youth, and contribute to Pakistan’s economic growth.",Education,611710.0,$25M - $49.99M,,Cooperative Agreement,,2018.0,11/30/2018,7/15/2018,5 years,,New Opportunity Not Previously Forecasted,Overseas,3/02/2018,25000000.0,49990000.0,2018-11-30,2018-07-15,2018-03-02
126,Pakistan,Faisal Jawad,Training For Pakistan – III (TFP – III),"Under Training for Pakistan, the Contractor shall provide participant training for capacity development of USAID/Pakistan’s contractors, grantees, and partners under Government to Government assistance programs, and at times to the Mission directly. This Mission-wide program will support all USAID sector teams interested in exchanges or training of host-country Pakistani nationals.  The Contractor will support maximizing the impact of these programs by linking exchange and training programs, where appropriate, to on-going or planned developmental assistance activities by USAID Technical Teams and, if necessary, other USG agencies.",Management,541611.0,$10M - $24.99M,,Contract,TBD,2019.0,2/28/2019,5/01/2018,5 years,,Combination of Changes,Overseas,3/02/2018,10000000.0,24990000.0,2019-02-28,2018-05-01,2018-03-02
127,Peru,Jose Antonio Zarzar,Amazon Knowledge and Learning Platform,"The overall objectives of the Program are to 1) support the adaptive management of USAID programs under the Amazon Vision, and 2) improve knowledge and evidence for the conservation of Amazon biodiversity and climate change mitigation services.",Environment and Global Climate Change,,$10M - $24.99M,,Contract,TBD,2019.0,12/21/2018,4/20/2018,5 years,,New Opportunity Not Previously Forecasted,Overseas,2/05/2018,10000000.0,24990000.0,2018-12-21,2018-04-20,2018-02-05
128,Peru,,Institutional Strengthening Partnership for DEVIDA,To improve public investment and household incomes in post-eradication areas.,Agriculture and Food Security,,$10M - $24.99M,,Contract,,2018.0,4/03/2018,11/29/2017,,,,Overseas,11/02/2017,10000000.0,24990000.0,2018-04-03,2017-11-29,2017-11-02
129,Peru,Jose Antonio Zarzar,Promotion of Best Environmental and Social Management Practices.,"The purpose of this activity is to facilitate multi-stakeholder agreement on Best Management Practices (BMPs) for the four priority sectors (hydro-power, roads, oil and gas, and mining), and then support the promotion, implementation, and monitoring/enforcement of these BMPs.",Environment and Global Climate Change,,$10M - $24.99M,,Contract,TBD,2018.0,8/13/2018,12/15/2017,5 years,,New Opportunity Not Previously Forecasted,Overseas,2/05/2018,10000000.0,24990000.0,2018-08-13,2017-12-15,2018-02-05
130,Peru,Jose Antonio Zarzar,Representation of Indigenous Peoples in Governance of Amazon Forests and Waters.,"The regional project will support work with the indigenous groups that includes the Private Sector, Governments and the Civil Society (including academia) in raising awareness on indigenous people’s rights and responsibilities, especially of those communities facing proposed development projects.",Environment and Global Climate Change,,$10M - $24.99M,,Cooperative Agreement,,2018.0,12/21/2018,4/20/2018,5 years,,New Opportunity Not Previously Forecasted,Overseas,2/05/2018,10000000.0,24990000.0,2018-12-21,2018-04-20,2018-02-05
131,Peru,Jose Antonio Zarzar,SERVIR Amazonia,"SERVIR is a joint initiative of USAID and NASA to help developing countries improve environmental
management and resilience to climate change by strengthening the capacity of governments and other
key stakeholders to integrate Earth observation information and geospatial technologies into
development decision‐making. SERVIR Amazonia will be integrated into both the global SERVIR program
and the Amazon‐targeted USAID Amazon Regional Environment Program. The overall goal of the
Amazon Regional Environment Program is to reduce the negative impacts on Amazon forest and water
resources by large‐scale infrastructure projects, extractive activities, and the effects of climate change.
In this context, the goal of SERVIR Amazonia is to reduce these and other negative impacts through
increased application of geospatial analysis for improved planning and decision‐making. SERVIR
Amazonia will have a thematic focus around hydro‐meteorological management decision support, with
specific themes of drought and fire risk, water resources and hydro‐climatic events, ecosystems
management, and weather and climate.",Environment and Global Climate Change,,$4M - $9.99M,,Cooperative Agreement,,2018.0,6/29/2018,3/16/2018,5 years,,New Opportunity Not Previously Forecasted,Overseas,2/05/2018,4000000.0,9999000.0,2018-06-29,2018-03-16,2018-02-05
132,Peru,Amy Larsen,"Securing a Sustainable, Legal, Profitable and Inclusive Forest Sector. (Pro-Bosques)","The activity focuses on strengthening the forest sector governance of Peru by providing technical support to the appropriate GOP institutions, strengthening coordination through working groups and protocols, and providing tools and technology to engage civil society and affected communities.  At national Level, Ucayali, Loreto, San Martin.",Environment and Global Climate Change,541990.0,$10M - $24.99M,NONE,Contract,,2017.0,8/13/2018,12/27/2017,5 years,SOL-72052718R-00001,Combination of Changes,Overseas,1/31/2018,10000000.0,24990000.0,2018-08-13,2017-12-27,2018-01-31
133,Philippines,Franco Joshua Calixto,Analytical Support,"DUE TO BUDGET UNCERTAINTY, THIS ACTIVITY IS PUT ON HOLD FOR THE TIME BEING AND COULD POSSIBLY BE REMOVED FROM THE BUSINESS FORECAST.

Analytical support for the next USAID/Philippines Country Development Cooperation Strategy (CDCS). Activities to include analyzing findings from completed  evaluations; conducting the 118/119 Tropical Forestry and Biodiversity Analysis, etc.",Management,541990.0,$1M - $3.99M,,Task Order/Delivery Order (TO/DO),,2018.0,9/28/2018,5/31/2018,1 year,TBD,Combination of Changes,Overseas,2/01/2018,1000000.0,3900000.0,2018-09-28,2018-05-31,2018-02-01
134,Philippines,Haidee Juanillo,Basic Education,"The Basic Education Concept Paper is a key step in the process for designing a sector-wide USAID/Philippines Project Appraisal Document (PAD) and the authorization and award of a new generation of education activities by 2018. USAID/Philippines next education program will consist of more than one award (number of awards to be determined) and will continue to play an important role supporting the education priorities of the Government of the Philippines.

Please visit the USAID/Philippines website to view the redacted concept paper: https://www.usaid.gov/documents/1861/philippines-basic-education-project-2017-2022-redacted-concept-paper.",Education,541990.0,$25M - $49.99M,,To Be Determined (TBD),TBD,2018.0,1/28/2019,8/30/2018,5 years,TBD,Combination of Changes,Overseas,2/22/2018,25000000.0,49990000.0,2019-01-28,2018-08-30,2018-02-22
135,Philippines,Ester Pura,PNG Biodiversity Program,The new program will support conservation and natural resource management activities in priority ecosystems in Papua New Guinea.,Environment and Global Climate Change,541990.0,$10M - $24.99M,,To Be Determined (TBD),TBD,2018.0,11/30/2018,5/31/2018,5 years,TBD,,Overseas,2/01/2018,10000000.0,24990000.0,2018-11-30,2018-05-31,2018-02-01
136,Philippines,Haidee Juanillo,Strengthening Inclusive Education in the Philippines,"The award/s will focus on improving detection, instruction and support for children with visual and/or hearing impairment in the Philippines in order to improve inclusive education and literacy outcomes.

The Request for Information (RFI-492-18-OED-001) has been posted in FedbizOpps, Grants.gov and USAID/Philippines websites.",Education,541990.0,$1M - $3.99M,,To Be Determined (TBD),TBD,2018.0,6/15/2018,1/15/2018,2 years,RFI-492-18-OED-001,,Overseas,12/14/2017,1000000.0,3900000.0,2018-06-15,2018-01-15,2017-12-14
137,Philippines,Sandra Jansen,USAID/Philippines Marawi Program,"The goal of USAID/Philippines Marawi Program is to help sustain and support the transition and reintegration of Internally Displaced Persons (IDPs) through 2020, particularly those IDPs for whom the likelihood of returning to Marawi seems unlikely for the foreseeable future. To accomplish this, USAID will pursue three objectives that align with the early recovery and rehabilitation phases: 1. Early recovery needs of individuals displaced by the Marawi conflict addressed; 2. IDPs transitioned to social and economic stability; and 3. Conditions established for local governments and communities in and around Marawi to address their long-term rehabilitation needs. The Mission anticipates one or more activities under this program.",Working in Crises and Conflict,541990.0,$25M - $49.99M,,To Be Determined (TBD),TBD,2018.0,8/31/2018,3/30/2018,3 years,TBD,,Overseas,2/04/2018,25000000.0,49990000.0,2018-08-31,2018-03-30,2018-02-04
138,Philippines,Ester Pura,Water Activity (previously described as Environment Sector Activity(ies)),This activity will provide technical assistance to the water sector. Please visit the USAID/Philippines website to view the redacted concept paper: https://www.usaid.gov/documents/1861/usaidphilippines-environment-concept-paper.,Environment and Global Climate Change,541990.0,$10M - $24.99M,,To Be Determined (TBD),TBD,2019.0,2/01/2019,7/31/2018,5 years,TBD,Combination of Changes,Overseas,2/26/2018,10000000.0,24990000.0,2019-02-01,2018-07-31,2018-02-26
139,Regional Development Mission for Asia,Pasin Bua-on,"A USPCS for Regional HIV and TB Advisor, GS-15. An initial contract term of 3-years, plus two possible extensions of 1-year each.",A USPCS for Regional HIV and TB Advisor position.,Global Health,541990.0,"$500,000 - $999,999",,Personal Services Contract (PSC),,2018.0,7/01/2018,10/31/2017,3 years,SOL-72048618R00002,,Overseas,11/01/2017,500000.0,999999.0,2018-07-01,2017-10-31,2017-11-01
140,Regional Development Mission for Asia,"Paoluglam, Tanapreeyanun",China Mekong Environment Program,"The purpose of this Activity is to enhance Environmental Safeguards in Chinese Infrastructure Investments in the Greater Mekong Region (China, Burma, Cambodia, Laos, Thailand, Vietnam)",Environment and Global Climate Change,,$4M - $9.99M,TBD,Cooperative Agreement,,2018.0,9/14/2018,3/09/2018,3 years,TBD,New Opportunity Not Previously Forecasted,Overseas,3/01/2018,4000000.0,9999000.0,2018-09-14,2018-03-09,2018-03-01
141,Regional Development Mission for Asia,"Paoluglam, Tanapreeyanun",Lao Reading Readiness Activity,"The purpose of this Activity is  to improve reading skills of primary school students in early grades, particularly for non-Lao speaking children from disadvantaged populations.",Education,,$10M - $24.99M,TBD,Cooperative Agreement,,2018.0,9/14/2018,4/12/2018,5 years,TBD,Combination of Changes,Overseas,3/01/2018,10000000.0,24990000.0,2018-09-14,2018-04-12,2018-03-01
142,Regional Development Mission for Asia,Karittha Jenchiewchan,Laos Trade and Investment,"A new USAID trade and investment activity aims to provide trade capacity-building to the Lao Government to promote the ability to conduct trade within the global rules-based system and meet commitments made to the World Trade Organization and the Laos-U.S. bilateral trade agreement. Additionally, this activity will support issues of mutual interest resulted from U.S. - Laos Trade and Investment Framework Agreement.",Economic Growth and Trade,,$4M - $9.99M,,To Be Determined (TBD),TBD,2018.0,9/28/2018,5/29/2018,5 years,TBD,Combination of Changes,Overseas,3/02/2018,4000000.0,9999000.0,2018-09-28,2018-05-29,2018-03-02
143,Regional Development Mission for Asia,Suthicha Chussananalin,"Together, formerly known as ""New Thailand Activity""",Together -- TBD,"Democracy, Human Rights, and Governance",,$10M - $24.99M,,Cooperative Agreement,,2018.0,9/01/2018,3/22/2018,4 years,,Change in Award Type,Overseas,3/02/2018,10000000.0,24990000.0,2018-09-01,2018-03-22,2018-03-02
144,Regional Development Mission for Asia,Karittha Jenchiewchan,USAID Laos Microenterprise Competitiveness Improvement Program,"A Microenterprise activity will provide support to microenterprises, including those in the agricultural sector to be able to access to economic opportunity. The activities might include support microfinance institutions to improve access to financial services that are tailored to the needs of microenterprises; reduce regulatory, policy, and barriers that limited growth opportunities for microenterprises; build capacity to microenterprises to improve quality, productivity and market potential as well as increase access to new markets.",Economic Growth and Trade,,$4M - $9.99M,,Cooperative Agreement,,2018.0,9/28/2018,4/12/2018,5 years,TBD,Combination of Changes,Overseas,3/02/2018,4000000.0,9999000.0,2018-09-28,2018-04-12,2018-03-02
145,Rwanda,Lindsay Windsor,Mid-term performance evaluation for PSDAG activity,"Mid-term performance evaluation for PSDAG activity, issued as a Task Order under the Evaluation IDIQ",Agriculture and Food Security,,"$150,000 - $499,999",,Task Order/Delivery Order (TO/DO),,2018.0,5/15/2018,3/15/2018,,,,Overseas,2/26/2018,150000.0,499999.0,2018-05-15,2018-03-15,2018-02-26
146,Rwanda,Ali M. Ali,Rwandan Health Service Delivery Activity,"Implementation of reproductive, maternal, newborn, and child health interventions.",Global Health,,$25M - $49.99M,"This is a new Activity. However, some of the interventions will be carried over from the on-going Maternal  and Child Survival Program with JHPIEGO.",Cooperative Agreement,,2018.0,8/31/2018,3/09/2018,,,,Overseas,2/26/2018,25000000.0,49990000.0,2018-08-31,2018-03-09,2018-02-26
147,Senegal,Alioune Mody Ndiaye,Agriculture Value chain Services,Agriculture Value chain Services,Agriculture and Food Security,,$25M - $49.99M,TBD,Contract,,2018.0,12/30/2018,4/30/2018,,,Change in Award Title,Overseas,11/07/2017,25000000.0,49990000.0,2018-12-30,2018-04-30,2017-11-07
148,Senegal,Alioune Mody Ndiaye,"Fisheries, Biodiversity and Livelihoods","Fisheries, Biodiversity and Livelihoods",Agriculture and Food Security,,$10M - $24.99M,TBD,Cooperative Agreement,,2018.0,8/27/2018,3/12/2018,,,Change in Anticipated Solicitation Date,Overseas,2/22/2018,10000000.0,24990000.0,2018-08-27,2018-03-12,2018-02-22
149,Serbia,Branislav Bulatovic,Government Accountability Initiative Activity,New Anti-Corruption Activity,"Democracy, Human Rights, and Governance",,$4M - $9.99M,,Contract,TBD,2018.0,1/01/2018,8/01/2017,,,New Opportunity Not Previously Forecasted,Overseas,11/21/2017,4000000.0,9999000.0,2018-01-01,2017-08-01,2017-11-21
150,Somalia,Evans Mutende,New Somalia Education Activity,The new activity ​seeks to​ increase equitable access to education for marginalized populations and ​also to enhance education authorities’ abilities to manage and lead the education sector in Somalia​.,Education,541990.0,$50M - $99.99M,,Contract,,2017.0,2/15/2018,8/18/2017,5 years,,Change in Anticipated Solicitation Date,Overseas,11/01/2017,50000000.0,99990000.0,2018-02-15,2017-08-18,2017-11-01
151,South Africa,Nompumelelo Mangqalaza,"Monitoring, Evaluation, Research and Learning (MERL) - Support for Monitoring and Evaluation for Health","The Monitoring, Evaluation, Research and Learning (MERL) activity will provide support for monitoring and evaluation of health sector programs in South Africa.  This is contemplated as a task order under the EVAL-ME IDIQ.",Global Health,541611.0,$4M - $9.99M,TBD,Task Order/Delivery Order (TO/DO),,2017.0,9/30/2017,6/15/2017,5 years,TBD,,Overseas,10/06/2017,4000000.0,9999000.0,2017-09-30,2017-06-15,2017-10-06
152,South Africa,Thokozile Mokhele,Regional Political Party Strengthening,The Regional Political Party Strengthening (REED) will aim to increase the capacity of political parties in the Southern Africa Region.,"Democracy, Human Rights, and Governance",,$1M - $3.99M,,Cooperative Agreement,,2017.0,6/14/2017,12/15/2016,,SOL-674-17-000009,,Overseas,10/06/2017,1000000.0,3900000.0,2017-06-14,2016-12-15,2017-10-06
153,South Africa,Nompumelelo Mangqalaza,TBD,"OVC:  To accelerate and sustain HIV epidemic control in South Africa through the delivery of high-impact HIV prevention, care and support services. The principal focus is to improve the health and well-being of children adolescents who are living with affected by and vulnerable to HIV prevent new HIV infections among priority populations; and scale up effective violence prevention and interventions.",Global Health,,$100M - $299.99M,,Cooperative Agreement,,2017.0,4/30/2018,9/01/2017,5 years,,,Overseas,10/06/2017,100000000.0,299990000.0,2018-04-30,2017-09-01,2017-10-06
154,South Africa,TBD,TBD,"CARE AND TREATMENT :To improve upon and expand comprehensive clinical and non-clinical differentiated HIV care and treatment services to accelerate and sustain HIV epidemic control in SA in support of the achievement of the goals of SA's National Strategy Plan for HIV, Tuberculosis and Sexually Transmitted Infections.",Global Health,,$500M - $749.99M,,Cooperative Agreement,,2017.0,4/30/2018,9/01/2017,5 years,,,Overseas,10/06/2017,500000000.0,749990000.0,2018-04-30,2017-09-01,2017-10-06
155,South Sudan,George Susan,Conservation of Biodiversity across the Boma-Jonglei Landscape in South Sudan,Follow on to the Wildlife Conservation Society (WCS) Award; Conservation of Biodiversity across the Boma-Jonglei Landscape in South Sudan,Economic Growth and Trade,,$1M - $3.99M,Wildlife Conservation Society (WCS),Cooperative Agreement,,2018.0,6/30/2018,4/16/2018,,,Combination of Changes,Overseas,3/02/2018,1000000.0,3900000.0,2018-06-30,2018-04-16,2018-03-02
